LTE基站接入点数,地市,带宽,接入OLT个数,日峰值利用率,日峰值流速,日忙时均值利用率,日忙时均值流速,日期,是否接入LTE基站,是否接入OLT,环名称,环的总节点数,省,分类
56.0,焦作,1,0.0,13.61%,136.08,12.77%,127.69,20200301,是,否,修武县接入环4-修武质监局-东陈庄,9.0,河南,接入层
12.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,沁阳接入环17-王召-龙涧,5.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,修武县接入环13-铁罗头-靳村南-车管所数据专线,1.0,河南,接入层
111.0,焦作,10,0.0,3.09%,308.85,2.84%,278.25,20200301,是,否,武陟县接入环8-朝阳一街-武陟一中,10.0,河南,接入层
50.0,焦作,1,0.0,25.58%,255.81,24.04%,240.41,20200301,是,否,武陟县接入环24-新汽车站-水上乐园,6.0,河南,接入层
0.0,焦作,1,0.0,0.03%,0.29,0.03%,0.28,20200301,否,否,生产楼核心3链5-统计局数据,1.0,河南,接入层
24.0,焦作,1,0.0,4.35%,43.52,3.61%,33.63,20200301,是,否,沁阳接入环40-沁阳机房数据2-沁阳机房数据4,4.0,河南,接入层
8.0,焦作,1,0.0,17.23%,172.35,11.85%,112.73,20200301,是,否,修武县接入环21-焦作北-东新庄,7.0,河南,接入层
10.0,焦作,1,0.0,12.20%,122.01,10.76%,107.6,20200301,是,否,沁阳接入环26-西宜作-南寻,5.0,河南,接入层
0.0,焦作,1,0.0,0.58%,5.79,0.58%,5.79,20200301,否,否,焦作市区接入环18-郝庄-中级人民法院-家乐福室分,1.0,河南,接入层
4.0,焦作,1,0.0,2.66%,26.64,2.66%,26.56,20200301,是,否,沁阳接入-崇义汇聚-沁阳宽平村,1.0,河南,接入层
2.0,焦作,1,0.0,17.28%,172.76,15.32%,153.17,20200301,是,否,修武县接入环20-葛庄-马坊,8.0,河南,接入层
2.0,焦作,1,0.0,1.11%,11.12,0.99%,9.86,20200301,是,否,生产楼接入环2-农信小区-市区图书馆-锦绣江南室分,1.0,河南,接入层
4.0,焦作,1,0.0,1.33%,13.26,1.10%,10.99,20200301,是,否,马村链1-马村新营业厅,1.0,河南,接入层
18.0,焦作,1,0.0,11.91%,119.13,10.53%,104.95,20200301,是,否,焦作市区10G接入环1-高新数据-南北苑数据,4.0,河南,接入层
22.0,焦作,1,0.0,46.60%,466.04,46.28%,462.8,20200301,是,否,孟州接入环17-许庄-海头,1.0,河南,接入层
10.0,焦作,1,0.0,12.00%,120.03,11.95%,119.51,20200301,是,否,孟州接入环28-立义村-前姚,4.0,河南,接入层
2.0,焦作,1,0.0,1.02%,10.23,0.85%,8.48,20200301,是,否,生产楼核心3链6-邮政大厦（室分）,1.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,修武县接入环13-铁罗头-靳村南-小寨西石化监控（集客）,1.0,河南,接入层
4.0,焦作,1,0.0,8.67%,86.71,7.19%,69.17,20200301,是,否,修武县接入环8-东板桥-朱营,5.0,河南,接入层
0.0,焦作,1,0.0,0.03%,0.26,0.03%,0.26,20200301,否,否,生产楼接入环4-生产楼-瑞庆公司转型（数据）,1.0,河南,接入层
0.0,焦作,1,0.0,1.60%,15.97,1.03%,10.33,20200301,否,否,焦作市区接入环15-柿园-中站劳改大队-峰林峡链,3.0,河南,接入层
14.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,沁阳接入环11-葛村-范村,7.0,河南,接入层
18.0,焦作,1,0.0,48.50%,484.96,45.51%,455.12,20200301,是,否,温县接入环13-后张庄-黄庄,9.0,河南,接入层
16.0,焦作,1,0.0,16.45%,164.54,15.13%,151.35,20200301,是,否,博爱接入环7-博爱移动公司-博爱汽车站,7.0,河南,接入层
2.0,焦作,1,0.0,0.36%,3.57,0.18%,1.82,20200301,是,否,生产楼核心一链16-市图书馆室分,1.0,河南,接入层
30.0,焦作,10,0.0,2.77%,276.87,2.55%,255.4,20200301,是,否,焦作市马村接入环6-中轴-墙北,9.0,河南,接入层
8.0,焦作,2,0.0,6.75%,135.05,6.33%,126.64,20200301,是,否,修武县双跨接入环10-田庄酒店-大用厂,4.0,河南,接入层
84.0,焦作,10,0.0,1.77%,177.01,1.61%,160.97,20200301,是,否,焦作市接入环双跨环9-杨庄小学-大北张,12.0,河南,接入层
15.0,焦作,1,0.0,10.14%,101.44,6.15%,61.49,20200301,是,否,武陟县接入环35-3460-武陟机房数据3（集客）-3461-武陟机房数据4（集客）,1.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,博爱接入环22-磨头-胭粉庄7322-博爱机房数据950-2-2-D2EG2-1(PORT-1)-7122-博爱机房数据950-1-D2EG2-2(PORT-2),1.0,河南,接入层
1.0,焦作,1,0.0,6.97%,69.74,6.30%,62.96,20200301,是,否,温县接入环34-温县数据（集客）-温县数据（集客）2,2.0,河南,接入层
0.0,焦作,1,0.0,0.10%,1.02,0.10%,1.01,20200301,否,否,修武县接入环9-方庄-新王庄-银河花园酒店链,1.0,河南,接入层
12.0,焦作,1,0.0,4.24%,42.4,3.64%,36.42,20200301,是,否,新新家园2接入链1-1922-华融国际（室分）,1.0,河南,接入层
0.0,焦作,1,0.0,1.55%,15.48,1.50%,14.99,20200301,否,否,焦作市马村接入环2-中轴-博丽建材南-焦作市气象局数据专线,1.0,河南,接入层
10.0,焦作,1,0.0,15.14%,151.37,14.20%,141.96,20200301,是,否,温县接入环35-买庄-卜扬门,5.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,银发接入环3-恒基商厦-三维超市,1.0,河南,接入层
70.0,焦作,2,0.0,35.51%,710.11,31.10%,621.92,20200301,是,否,焦作市区接入环26-上白作西-焦西矿,11.0,河南,接入层
0.0,焦作,1,0.0,0.57%,5.68,0.57%,5.67,20200301,否,否,生产楼核心一链3-商行东华软件,1.0,河南,接入层
34.0,焦作,1,0.0,0.65%,6.54,0.36%,3.6,20200301,是,否,修武县接入环23-森林公园-云鼎山庄,2.0,河南,接入层
0.0,焦作,1,0.0,1.80%,17.97,1.70%,17.03,20200301,否,否,焦作市南北苑链7-工行专线数据,1.0,河南,接入层
24.0,焦作,10,0.0,2.73%,272.91,2.30%,229.86,20200301,是,否,焦作市接入环双跨环6-冯河北-丽景新天地,13.0,河南,接入层
16.0,焦作,10,0.0,3.65%,364.89,2.76%,275.71,20200301,是,否,焦作市接入环双跨环8-龙源西路2-大北张西,14.0,河南,接入层
2.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,高新区核心一链5-工商大厦（室分）,1.0,河南,接入层
4.0,焦作,1,0.0,4.75%,47.54,4.37%,43.75,20200301,是,否,新新家园接入环5-和平市场东-焦作商厦链,1.0,河南,接入层
8.0,焦作,1,0.0,1.64%,16.38,1.63%,16.33,20200301,是,否,沁阳接入环16-甄庄-王庄,3.0,河南,接入层
0.0,焦作,10,0.0,1.19%,118.67,1.10%,108.29,20200301,否,否,焦作市区接入环3-南张庄-驾校,4.0,河南,接入层
2.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,焦作市接入环双跨环13-龙湖玖号酒店-花卉市场-市委小区室分链,1.0,河南,接入层
6.0,焦作,1,0.0,15.63%,156.25,14.07%,140.72,20200301,是,否,博爱接入环17-西张赶-孝敬,8.0,河南,接入层
2.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,焦作市接入环双跨环14-龙湖玖号酒店-东王储-市长公寓室分链,1.0,河南,接入层
0.0,焦作,1,0.0,0.57%,5.72,0.53%,5.33,20200301,否,否,生产楼核心3链7-国土资源局室分,1.0,河南,接入层
12.0,焦作,1,0.0,2.91%,29.06,2.11%,21.1,20200301,是,否,新新家园2接入链2-观澜国际,1.0,河南,接入层
0.0,焦作,2,0.0,11.13%,222.68,11.10%,221.95,20200301,否,否,生产楼核心一接入环1-市商业银行（数据）,2.0,河南,接入层
14.0,焦作,1,0.0,15.01%,150.11,14.33%,143.27,20200301,是,否,沁阳接入环3-人民公园-马铺,5.0,河南,接入层
0.0,焦作,1,0.0,0.71%,7.09,0.71%,7.07,20200301,否,否,马村链2-马村财政局汇聚,1.0,河南,接入层
22.0,焦作,4,0.0,3.14%,125.68,2.94%,117.72,20200301,是,否,生产楼接入环6-阳光大厦链路,7.0,河南,接入层
4.0,焦作,1,0.0,4.92%,49.18,4.76%,47.59,20200301,是,否,生产楼核心3链8-生产楼数据,5.0,河南,接入层
6.0,焦作,1,0.0,2.39%,23.89,1.68%,16.77,20200301,是,否,修武县接入环16-孔村-王屯,6.0,河南,接入层
28.0,焦作,3,0.0,5.43%,162.95,4.58%,137.45,20200301,是,否,焦作市区接入环16-百间房-寺河,7.0,河南,接入层
8.0,焦作,1,0.0,1.46%,14.61,1.39%,13.86,20200301,是,否,生产楼核心一链25-建委小区室分,2.0,河南,接入层
12.0,焦作,1,0.0,1.39%,13.85,1.17%,11.67,20200301,是,否,沁阳接入环15-贾村-木楼,5.0,河南,接入层
2.0,焦作,1,0.0,5.73%,57.27,3.47%,34.73,20200301,是,否,焦作市上白作接入链3-1640-花园街外国语中学-1-D1EM8F-1(PORT-1)-1020-上白作汇聚-2-81EG8-3(PORT-3),1.0,河南,接入层
18.0,焦作,1,0.0,22.31%,223.11,19.48%,194.77,20200301,是,否,武陟县接入环20-北小庄-小聂村北,2.0,河南,接入层
4.0,焦作,10,0.0,6.19%,619.4,6.17%,616.9,20200301,是,否,孟州接入环23-谷旦-冶墙,9.0,河南,接入层
10.0,焦作,1,0.0,3.86%,38.64,3.07%,30.67,20200301,是,否,沁阳接入环7-杨林-保方村,2.0,河南,接入层
10.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,沁阳接入环7-西王占-保方村,2.0,河南,接入层
0.0,焦作,1,0.0,12.95%,129.5,12.65%,126.53,20200301,否,否,焦作市接入环双跨环10-市政广场-防疫站-总部新城行政服务大厅链,1.0,河南,接入层
8.0,焦作,1,0.0,18.64%,186.44,18.35%,183.45,20200301,是,否,沁阳接入环7-东乡-王曲,4.0,河南,接入层
10.0,焦作,1,0.0,41.90%,419.05,41.54%,415.42,20200301,是,否,孟州接入环3-东光村-刘庄造纸厂,6.0,河南,接入层
0.0,焦作,1,0.0,7.68%,76.82,6.54%,65.43,20200301,否,否,温县接入链5-温县农信社监控,1.0,河南,接入层
8.0,焦作,1,0.0,9.01%,90.12,6.81%,63.1,20200301,是,否,沁阳接入环38-九渡-于邰,2.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,武陟县接入链3-武陟农信社监控,1.0,河南,接入层
24.0,焦作,2,0.0,14.29%,285.88,12.28%,245.58,20200301,是,否,马村接入环1-马村公交公司-马村办事处,5.0,河南,接入层
2.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,焦作市接入环双跨环13-龙湖玖号酒店-花卉市场-人才大楼链,1.0,河南,接入层
0.0,焦作,1,0.0,5.71%,57.15,5.33%,53.33,20200301,否,否,焦作市区接入环24-卫校西街-医药局-农行汇聚,2.0,河南,接入层
8.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,焦作市接入环双跨环14-龙湖玖号酒店-东王储-教育小区室分链,2.0,河南,接入层
2.0,焦作,1,0.0,0.75%,7.5,0.63%,6.31,20200301,是,否,焦作市区接入环24-卫校西街-医药局-社保中心链,1.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,武陟县接入链1-武陟机房数据（集客）,1.0,河南,接入层
80.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,修武县接入环9-方庄-新王庄-沙墙南,2.0,河南,接入层
2.0,焦作,1,0.0,0.31%,3.1,0.28%,2.84,20200301,是,否,焦作市南北苑链4-山阳建国饭店,1.0,河南,接入层
10.0,焦作,1,0.0,5.68%,56.84,4.21%,42.14,20200301,是,否,生产楼核心一链14-环保局(室分),3.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,焦作市接入环双跨环12-迎宾馆东北角-西于村安置小区-贰仟家室分,1.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,焦作市区接入环8-新理工松5机房-新理工博士楼-中华新天地链,1.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,焦作市小尚接入链2-焦作市中站区风神轮胎有限公司基站,1.0,河南,接入层
48.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,孟州接入环15-西虢-廉桥,10.0,河南,接入层
2.0,焦作,2,0.0,11.01%,220.26,10.45%,208.96,20200301,是,否,博爱接入环16-吕店-皂角树,6.0,河南,接入层
18.0,焦作,1,0.0,14.88%,148.84,14.72%,147.16,20200301,是,否,武陟县接入环29-商贸城2-兰封,2.0,河南,接入层
12.0,焦作,1,0.0,14.21%,142.1,13.60%,135.99,20200301,是,否,沁阳接入环19-白庄-双锌汽修,4.0,河南,接入层
0.0,焦作,1,0.0,1.26%,12.55,1.05%,10.45,20200301,否,否,生产楼接入环2-农信小区-市区图书馆-迎宾馆一号楼室分,1.0,河南,接入层
6.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,生产楼接入环2-农信小区-市区图书馆-美中城室分,3.0,河南,接入层
0.0,焦作,1,0.0,1.25%,12.5,1.09%,10.93,20200301,否,否,生产楼核心一链18-焦作市商业总行二楼机房(数据),1.0,河南,接入层
18.0,焦作,1,1.0,25.99%,259.87,25.64%,256.43,20200301,是,是,孟州接入环14-人民医院北-函丈北,7.0,河南,接入层
26.0,焦作,1,0.0,39.81%,398.07,33.58%,335.82,20200301,是,否,武陟县接入环47-张菜园-东大刘庄,7.0,河南,接入层
8.0,焦作,1,0.0,13.91%,139.15,11.83%,118.32,20200301,是,否,温县接入环17-西周-北冷,4.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,高新区核心一链4-中华新天地住宅楼,1.0,河南,接入层
10.0,焦作,1,0.0,4.01%,40.08,2.90%,28.99,20200301,是,否,生产楼核心3链9-水利局VPN（数据）,1.0,河南,接入层
4.0,焦作,1,0.0,3.13%,31.31,2.98%,29.81,20200301,是,否,焦作市南北苑链10-焦煤医院室分,1.0,河南,接入层
50.0,焦作,10,0.0,0.04%,3.76,0.03%,2.56,20200301,是,否,武陟县接入环30-侯园二巷-和平饭店,10.0,河南,接入层
8.0,焦作,2,0.0,3.23%,64.66,3.11%,62.22,20200301,是,否,孟州接入环8-西虢汽校-红星村,3.0,河南,接入层
4.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,高新区核心一链3-1934-电子科技园,1.0,河南,接入层
16.0,焦作,1,0.0,0.50%,4.98,0.49%,4.94,20200301,是,否,沁阳接入环9-沁阳高村-大海科技,1.0,河南,接入层
22.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,沁阳接入环39-粮食局-交警队2-怀府数据,1.0,河南,接入层
12.0,焦作,1,0.0,0.51%,5.1,0.51%,5.1,20200301,是,否,武陟县接入环35-武陟机房数据3（集客）-武陟机房数据4（集客）,1.0,河南,接入层
18.0,焦作,3,0.0,10.20%,306.14,9.70%,290.85,20200301,是,否,修武县双跨接入环9-新公安局-修武地税局,6.0,河南,接入层
90.0,焦作,10,0.0,8.11%,811.23,7.93%,792.8,20200301,是,否,生产楼接入环2-农信小区-市区图书馆,11.0,河南,接入层
30.0,焦作,20,0.0,0.19%,37.33,0.17%,33.54,20200301,是,否,焦作市接入环双跨环10-市政广场-防疫站,7.0,河南,接入层
12.0,焦作,1,0.0,18.98%,189.78,18.10%,181.05,20200301,是,否,温县接入环14-徐吕-北冷村,6.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,西万汇聚接入环1-西万汇聚-西万镇南石化监控,1.0,河南,接入层
0.0,焦作,1,0.0,0.44%,4.36,0.43%,4.34,20200301,否,否,修武县接入环18-东夏庄-李固-中铝石化监控（集客）链,1.0,河南,接入层
20.0,焦作,10,0.0,4.82%,482.26,4.57%,456.71,20200301,是,否,武陟县接入环3-黄河集团-大封,12.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,焦作市接入环双跨环12-迎宾馆东北角-西于村安置小区-西于村室分,1.0,河南,接入层
18.0,焦作,other,0.0,14.47%,159.2,12.10%,130.55,20200301,是,否,沁阳接入环27-移动公司-朱庄北,6.0,河南,接入层
16.0,焦作,1,0.0,2.83%,28.31,2.77%,27.74,20200301,是,否,博爱接入环15-月山政府-寨豁,8.0,河南,接入层
0.0,焦作,1,0.0,0.09%,0.86,0.08%,0.76,20200301,否,否,生产楼核心3链4-水利局VPN（数据）,1.0,河南,接入层
6.0,焦作,1,0.0,6.53%,65.3,5.20%,50.8,20200301,是,否,修武县接入环11-裕国庄北-千仓,5.0,河南,接入层
10.0,焦作,1,0.0,12.81%,128.12,12.54%,124.39,20200301,是,否,博爱接入环6-新高庙-高庙2,3.0,河南,接入层
6.0,焦作,1,0.0,8.23%,82.35,5.03%,50.26,20200301,是,否,温县接入环15-韩郭作-西郭作,2.0,河南,接入层
2.0,焦作,1,0.0,2.91%,29.07,2.45%,24.48,20200301,是,否,生产楼接入环2-农信小区-市区图书馆-美中城室分链,1.0,河南,接入层
0.0,焦作,2,0.0,39.95%,798.94,39.11%,782.12,20200301,否,否,孟州接入环31-孟州机房数据-孟州机房数据2,4.0,河南,接入层
52.0,焦作,1,0.0,12.99%,129.86,11.10%,111.05,20200301,是,否,焦作市区接入环24-卫校西街-医药局-铁路电缆厂灯杆,1.0,河南,接入层
34.0,焦作,10,0.0,3.69%,369.17,3.58%,358.21,20200301,是,否,焦作市接入环双跨环3-造店-新发地,14.0,河南,接入层
88.0,焦作,20,0.0,2.81%,561.95,2.59%,517.57,20200301,是,否,焦作市接入环双跨环4-焦大教学楼-豫龙商贸城,6.0,河南,接入层
48.0,焦作,10,0.0,3.37%,336.77,3.19%,318.64,20200301,是,否,新新家园接入环5-万方电影院-焦作商厦,9.0,河南,接入层
6.0,焦作,1,0.0,8.74%,87.42,8.05%,80.49,20200301,是,否,修武县接入环22-修武机房数据3-修武机房数据,3.0,河南,接入层
46.0,焦作,1,0.0,3.84%,38.41,2.99%,29.92,20200301,是,否,焦作银发接入环2-鑫鑫小区-重型机械厂,4.0,河南,接入层
8.0,焦作,1,0.0,3.67%,36.69,3.03%,30.31,20200301,是,否,生产楼核心一链27-龙源世家室分,3.0,河南,接入层
2.0,焦作,1,0.0,1.56%,15.58,1.24%,12.39,20200301,是,否,温县接入链1-后岗,1.0,河南,接入层
4.0,焦作,1,0.0,0.67%,6.69,0.67%,6.68,20200301,是,否,修武县接入环9-方庄-新王庄-云台天阶链,1.0,河南,接入层
10.0,焦作,1,0.0,6.96%,69.61,5.89%,58.87,20200301,是,否,沁阳接入环7-西王占-王占汇聚,0.0,河南,接入层
7.0,焦作,1,0.0,7.90%,79.04,6.85%,68.48,20200301,是,否,焦作市南北苑链2-南北苑数据,2.0,河南,接入层
2.0,焦作,1,0.0,8.96%,89.55,8.64%,86.37,20200301,是,否,修武县双跨接入环13-大文案-大位村,4.0,河南,接入层
2.0,焦作,1,0.0,0.58%,5.75,0.40%,3.99,20200301,是,否,生产楼核心一链19-山阳区政府室分,1.0,河南,接入层
0.0,焦作,4,0.0,3.21%,128.39,3.11%,124.44,20200301,否,否,修武县接入环6-修武县委-财政局室分,4.0,河南,接入层
0.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,否,否,高新区核心一链8-百大嘉园建行,1.0,河南,接入层
16.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,沁阳接入环9-葛村-大海科技,4.0,河南,接入层
4.0,焦作,1,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,银发接入环4-澳门豆捞-解放区人民检察院,2.0,河南,接入层
22.0,焦作,1,0.0,31.22%,312.22,28.56%,285.59,20200301,是,否,博爱接入环40-博十街村委会-九街居委会,10.0,河南,接入层
