LTE基站接入点数,下挂接入环个数,地市,备注,带宽,接入OLT个数,日峰值利用率,日峰值流速,日忙时均值利用率,日忙时均值流速,日期,是否接入LTE基站,是否接入OLT,环名称,环的总节点数,省,分类
18.0,39.0,焦作,0.0,10,0.0,1.75%,174.57,1.42%,135.44,20200301,是,否,沁阳汇聚环3-王占汇聚-崇义汇聚,0.0,河南,汇聚层
3.0,79.0,焦作,0.0,10,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,焦作市郊县骨干汇聚环6-沁阳-温县,0.0,河南,汇聚层
65.0,40.0,焦作,0.0,10,0.0,2.77%,277.2,2.73%,273.2,20200301,是,否,博爱汇聚环3-柏山汇聚-花园汇聚,3.0,河南,汇聚层
68.0,24.0,焦作,0.0,10,0.0,0.38%,38.42,0.38%,38.11,20200301,是,否,博爱汇聚环6-西城汇聚-江南怀府汇聚,2.0,河南,汇聚层
34.0,46.0,焦作,0.0,10,0.0,15.12%,1512.36,11.42%,1141.57,20200301,是,否,温县汇聚环3-锦都花城-黄庄汇聚,5.0,河南,汇聚层
30.0,46.0,焦作,0.0,10,0.0,1.50%,149.56,1.44%,144.11,20200301,是,否,武陟县汇聚环7-北郭-大虹桥,3.0,河南,汇聚层
16.0,22.0,焦作,0.0,10,0.0,0.40%,40.43,0.31%,30.97,20200301,是,否,孟州汇聚环3-南庄汇聚-刘庄汇聚,2.0,河南,汇聚层
36.0,51.0,焦作,0.0,10,0.0,10.84%,1084.09,10.47%,1046.57,20200301,是,否,武陟县汇聚环4(LTE叠加)-韩原-三阳,0.0,河南,汇聚层
50.0,46.0,焦作,0.0,10,0.0,9.80%,980.25,7.66%,765.74,20200301,是,否,温县汇聚环4-锦都花城-黄庄汇聚,0.0,河南,汇聚层
146.0,40.0,焦作,0.0,20,0.0,10.75%,2150.34,10.38%,2075.78,20200301,是,否,博爱汇聚环5-西城汇聚-江南怀府汇聚,0.0,河南,汇聚层
16.0,46.0,焦作,0.0,10,0.0,14.73%,1472.56,14.08%,1407.77,20200301,是,否,武陟县汇聚环8(LTE叠加)-北郭-大虹桥,0.0,河南,汇聚层
64.0,46.0,焦作,0.0,10,0.0,8.43%,842.73,6.79%,679.07,20200301,是,否,沁阳汇聚环1-西万汇聚-东乡汇聚,7.0,河南,汇聚层
196.0,71.0,焦作,0.0,10,0.0,8.47%,847.15,8.31%,831.24,20200301,是,否,焦作市郊县骨干汇聚环1-修武-武陟,2.0,河南,汇聚层
32.0,37.0,焦作,0.0,10,0.0,6.90%,689.94,5.23%,523.3,20200301,是,否,温县汇聚环2-北冷汇聚-南渠河汇聚,0.0,河南,汇聚层
4.0,16.0,焦作,0.0,10,0.0,0.02%,2.47,0.02%,2.38,20200301,是,否,博爱汇聚环7-西金城-西界沟汇聚,1.0,河南,汇聚层
20.0,16.0,焦作,0.0,10,0.0,0.88%,87.62,0.87%,87.24,20200301,是,否,博爱汇聚环8-西金城-西界沟汇聚,0.0,河南,汇聚层
203.0,36.0,焦作,0.0,20,0.0,11.87%,2373.74,8.89%,1777.2,20200301,是,否,沁阳汇聚环7-双锌汇聚-沁阳2,2.0,河南,汇聚层
128.0,50.0,焦作,0.0,10,0.0,22.73%,2272.62,22.03%,2202.57,20200301,是,否,武陟县汇聚环1-辛杨-嘉应观,6.0,河南,汇聚层
41.0,79.0,焦作,0.0,10,0.0,0.00%,0.0,0.00%,0.0,20200301,是,否,焦作市郊县骨干汇聚环5-沁阳-温县,2.0,河南,汇聚层
62.0,73.0,焦作,0.0,10,4.0,28.22%,2821.81,27.45%,2745.23,20200301,是,是,焦作市郊县骨干汇聚环4-博爱-孟州,0.0,河南,汇聚层
