PTN核心链路名称,地市,备注,日期,省,链路带宽(10GE/40GE),链路日峰值利用率(填百分数),链路日峰值流速(Mb),链路日忙时均值利用率(填百分数),链路日忙时均值流速(Mb),分类
1000-高新核心1-子架1-3-TPA1EX8S-2(1009-高新7-EX2-1)-1009-高新落地2-子架1-3-TPA1EX8S-1(1000-高新 6-EX2-1),焦作,0.0,20200301,河南,10,4.67%,467.0,3.55%,355.07,核心链路
1000-高新核心1-子架1-4-TPA1EX8S-1(1008-高新 7-EX2-2)-1008-高新落地1-子架1-3-TPA1EX8S-1(1000-高新6-EX2-2),焦作,0.0,20200301,河南,10,5.17%,517.0,4.14%,414.12,核心链路
1008-高新落地一-子架1-10-TPA1EX8S-1(1013-高新 11-EX2-2)-1013-高新核心3-11-82EX2-2(1008-高新-12-EX2-2),焦作,0.0,20200301,河南,10,6.58%,658.0,5.22%,522.13,核心链路
1008-高新落地一-子架1-4-TPA1EX8S-1(1006-高新6-EX2-2)-1006-高新核心2-6-82EX2-2(1008-高新7-EX2-1),焦作,0.0,20200301,河南,10,13.00%,1300.0,10.81%,1080.77,核心链路
1008-高新落地一-子架1-9-TPA1EX8S-1(1016-高新 11-EX2-2)-1016-高新核心4-11-82EX2-2(1008-高新-12-EX2-1),焦作,0.0,20200301,河南,10,12.00%,1200.0,9.86%,986.36,核心链路
1009-高新落地二-子架1-10-TPA1EX8S-1(1013-高新 12-EX2-2)-1013-高新核心3-12-82EX2-2(1009-高新-12-EX2-1),焦作,0.0,20200301,河南,10,4.78%,478.0,3.70%,369.89,核心链路
1009-高新落地二-子架1-10-TPA1EX8S-2(PORT-2)-1006-高新核心2-11-82EX2-2(PORT-2),焦作,0.0,20200301,河南,10,0.85%,85.33,0.84%,84.13,核心链路
1009-高新落地二-子架1-4-TPA1EX8S-1(1006-高新-6-EX2-1)-1006-高新核心2-6-82EX2-1(1009-高新7-EX2-2),焦作,0.0,20200301,河南,10,1.45%,144.9,1.45%,144.6,核心链路
1009-高新落地二-子架1-9-TPA1EX8S-1(1016-高新-12-EX2-2)-1016-高新核心4-12-82EX2-2(1009-高新-12-EX2-2),焦作,0.0,20200301,河南,10,2.50%,250.41,2.47%,246.65,核心链路
3003-澳通苑1-子架1-10-TPA1EX8S-5(PORT-5)-8012-澳通苑-主L2/L3-1-子架1-7-TPA1EX8-5(PORT-5),焦作,0.0,20200301,河南,10,22.00%,2200.0,18.29%,1828.61,核心链路
8018-铭源新城-备L2/L3-2-子架1-6-TPA1EX8-2(PORT-2)-7001-铭源新城-5-82EX2E-2(PORT-2),焦作,0.0,20200301,河南,10,2.44%,244.0,1.74%,174.44,核心链路
	#@!JIZCORELINK(10)$焦作市核心调度环19-郊县:5003-凤凰路替换-子架1-3-TPA1EX8S-3(PORT-3)-8014-凤凰路-备L2/L3-2-子架1-7-TPA1EX8-1(PORT-1),焦作,0.0,20200301,河南,10,0.40%,40.0,0.40%,39.5,核心链路
	#@!JIZCORELINK(10)$焦作市核心调度环19-郊县:5003-凤凰路替换-子架1-3-TPA1EX8S-4(PORT-4)-8014-凤凰路-备L2/L3-2-子架1-7-TPA1EX8-2(PORT-2),焦作,0.0,20200301,河南,10,0.98%,98.0,0.34%,34.15,核心链路
	#@!JIZCORELINK(10)$焦作市核心调度环19-郊县:5003-凤凰路替换-子架1-4-TPA1EX8S-3(PORT-3)-8014-凤凰路-备L2/L3-2-子架1-7-TPA1EX8-5(PORT-5),焦作,0.0,20200301,河南,10,0.35%,35.0,0.40%,40.39,核心链路
	#@!JIZCORELINK(10)$焦作市核心调度环19-郊县:5003-凤凰路替换-子架1-4-TPA1EX8S-4(PORT-4)-8014-凤凰路-备L2/L3-2-子架1-7-TPA1EX8-6(PORT-6),焦作,0.0,20200301,河南,10,0.47%,47.0,0.45%,45.39,核心链路
	#@!JIZCORELINK(11)$焦作市核心调度环19-郊县:5011-孟州2-12-82EX2-1(PORT-1)-8013-孟州-主L2/L3-1-子架1-7-TPA1EX8-5(PORT-5),焦作,0.0,20200301,河南,10,21.00%,2100.0,17.86%,1786.29,核心链路
	#@!JIZCORELINK(11)$焦作市核心调度环19-郊县:5011-孟州2-12-82EX2-2(PORT-2)-8013-孟州-主L2/L3-1-子架1-7-TPA1EX8-6(PORT-6),焦作,0.0,20200301,河南,10,29.00%,2900.0,24.93%,2492.86,核心链路
	#@!JIZCORELINK(11)$焦作市核心调度环19-郊县:8013-孟州-L2/L3-子架1-7-TPA1EX8-1(PORT-1)-5011-孟州2-13-82EX2-1(PORT-1),焦作,0.0,20200301,河南,10,17.00%,1700.0,15.05%,1505.0,核心链路
	#@!JIZCORELINK(11)$焦作市核心调度环19-郊县:8013-孟州-L2/L3-子架1-7-TPA1EX8-2(PORT-2)-5011-孟州2-13-82EX2-2(PORT-2),焦作,0.0,20200301,河南,10,11.00%,1100.0,8.55%,854.62,核心链路
	#@!JIZCORELINK(12)$焦作市核心调度环20-郊县:6001-锦绣江南-4-82EX2-1(PORT-1)-8016-锦绣江南L2/3-2-子架1-7-TPA1EX8-5(PORT-5),焦作,0.0,20200301,河南,10,0.30%,30.0,0.29%,29.32,核心链路
	#@!JIZCORELINK(12)$焦作市核心调度环20-郊县:6001-锦绣江南-4-82EX2-2(PORT-2)-8016-锦绣江南L2/3-2-子架1-7-TPA1EX8-6(PORT-6),焦作,0.0,20200301,河南,10,1.40%,140.0,1.18%,117.71,核心链路
	#@!JIZCORELINK(12)$焦作市核心调度环20-郊县:8016-锦绣江南L2/3-2-子架1-7-TPA1EX8-1(PORT-1)-6001-锦绣江南-14-82EX2-1(PORT-1),焦作,0.0,20200301,河南,10,29.00%,2900.0,26.07%,2607.24,核心链路
	#@!JIZCORELINK(12)$焦作市核心调度环20-郊县:8016-锦绣江南L2/3-2-子架1-7-TPA1EX8-2(PORT-2)-6001-锦绣江南-14-82EX2-2(PORT-2),焦作,0.0,20200301,河南,10,40.00%,4000.0,34.92%,3491.66,核心链路
	#@!JIZCORELINK(13)$焦作市核心调度环20-郊县:8015-沁阳L2/3-1-子架1-7-TPA1EX8-5(PORT-5)-6013-沁阳2-6-82EX2-1(PORT-1),焦作,0.0,20200301,河南,10,18.00%,1800.0,15.16%,1515.77,核心链路
	#@!JIZCORELINK(13)$焦作市核心调度环20-郊县:8015-沁阳L2/3-1-子架1-7-TPA1EX8-6(PORT-6)-6013-沁阳2-6-82EX2-2(PORT-2),焦作,0.0,20200301,河南,10,16.00%,1600.0,12.82%,1282.15,核心链路
	#@!JIZCORELINK(13)$焦作市核心调度环20-郊县:8015-沁阳-子架1-7-TPA1EX8-1(PORT-1)-6013-沁阳2-14-82EX2-1(PORT-1),焦作,0.0,20200301,河南,10,0.32%,32.0,0.37%,37.2,核心链路
	#@!JIZCORELINK(13)$焦作市核心调度环20-郊县:8015-沁阳-子架1-7-TPA1EX8-2(PORT-2)-6013-沁阳2-14-82EX2-2(PORT-2),焦作,0.0,20200301,河南,10,1.53%,153.0,0.92%,92.29,核心链路
	#@!JIZCORELINK(14)$焦作市核心调度环21-郊县:8011-武陟-L2/L3-子架1-7-TPA1EX8-2(PORT-2)-3011-武陟机房2-7-82EX2-1(PORT-1),焦作,0.0,20200301,河南,10,0.33%,33.0,0.33%,32.98,核心链路
	#@!JIZCORELINK(14)$焦作市核心调度环21-郊县:8011-武陟-L2/L3-子架1-7-TPA1EX8-3(PORT-3)-3011-武陟机房2-7-82EX2-2(PORT-2),焦作,0.0,20200301,河南,10,0.47%,47.38,0.43%,42.8,核心链路
	#@!JIZCORELINK(15)$焦作市核心调度环21-郊县:8011-武陟-L2/L3-子架1-7-TPA1EX8-1(PORT-1)-3000-武陟-6-82EX2-1(PORT-1),焦作,0.0,20200301,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(16)$焦作市核心调度环21-郊县:3003-澳通苑1-子架1-4-TPA1EX8S-3(8012-澳通苑-7-1)-8012-澳通苑-主L2/L3-1-子架1-7-TPA1EX8-1(PORT-1),焦作,0.0,20200301,河南,10,28.00%,2800.0,24.94%,2493.76,核心链路
	#@!JIZCORELINK(16)$焦作市核心调度环21-郊县:3003-澳通苑1-子架1-4-TPA1EX8S-4(8012-澳通苑-7-2)-8012-澳通苑-主L2/L3-1-子架1-7-TPA1EX8-2(PORT-2),焦作,0.0,20200301,河南,10,49.00%,4900.0,44.53%,4453.13,核心链路
