LTE基站接入点数,地市,带宽,接入OLT个数,日峰值利用率,日峰值流速,日忙时均值利用率,日忙时均值流速,日期,是否接入LTE基站,是否接入OLT,环名称,环的总节点数,省,分类
56.0,焦作,1,0.0,0.13608,136.08,0.12769,127.69,20200301,是,否,修武县接入环4-修武质监局-东陈庄,9.0,河南,接入层
12.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,沁阳接入环17-王召-龙涧,5.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,修武县接入环13-铁罗头-靳村南-车管所数据专线,1.0,河南,接入层
111.0,焦作,10,0.0,0.30885,308.85,0.27825,278.25,20200301,是,否,武陟县接入环8-朝阳一街-武陟一中,10.0,河南,接入层
50.0,焦作,1,0.0,0.25581,255.81,0.24040999999999998,240.41,20200301,是,否,武陟县接入环24-新汽车站-水上乐园,6.0,河南,接入层
0.0,焦作,1,0.0,0.00029,0.29,0.00028000000000000003,0.28,20200301,否,否,生产楼核心3链5-统计局数据,1.0,河南,接入层
24.0,焦作,1,0.0,0.04352,43.52,0.03363,33.63,20200301,是,否,沁阳接入环40-沁阳机房数据2-沁阳机房数据4,4.0,河南,接入层
8.0,焦作,1,0.0,0.17235,172.35,0.11273000000000001,112.73,20200301,是,否,修武县接入环21-焦作北-东新庄,7.0,河南,接入层
10.0,焦作,1,0.0,0.12201000000000001,122.01,0.1076,107.6,20200301,是,否,沁阳接入环26-西宜作-南寻,5.0,河南,接入层
0.0,焦作,1,0.0,0.00579,5.79,0.00579,5.79,20200301,否,否,焦作市区接入环18-郝庄-中级人民法院-家乐福室分,1.0,河南,接入层
4.0,焦作,1,0.0,0.02664,26.64,0.02656,26.56,20200301,是,否,沁阳接入-崇义汇聚-沁阳宽平村,1.0,河南,接入层
2.0,焦作,1,0.0,0.17276,172.76,0.15317,153.17,20200301,是,否,修武县接入环20-葛庄-马坊,8.0,河南,接入层
2.0,焦作,1,0.0,0.01112,11.12,0.009859999999999999,9.86,20200301,是,否,生产楼接入环2-农信小区-市区图书馆-锦绣江南室分,1.0,河南,接入层
4.0,焦作,1,0.0,0.01326,13.26,0.01099,10.99,20200301,是,否,马村链1-马村新营业厅,1.0,河南,接入层
18.0,焦作,1,0.0,0.11913,119.13,0.10495,104.95,20200301,是,否,焦作市区10G接入环1-高新数据-南北苑数据,4.0,河南,接入层
22.0,焦作,1,0.0,0.46604,466.04,0.4628,462.8,20200301,是,否,孟州接入环17-许庄-海头,1.0,河南,接入层
10.0,焦作,1,0.0,0.12003,120.03,0.11951,119.51,20200301,是,否,孟州接入环28-立义村-前姚,4.0,河南,接入层
2.0,焦作,1,0.0,0.010230000000000001,10.23,0.00848,8.48,20200301,是,否,生产楼核心3链6-邮政大厦（室分）,1.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,修武县接入环13-铁罗头-靳村南-小寨西石化监控（集客）,1.0,河南,接入层
4.0,焦作,1,0.0,0.08671,86.71,0.06917,69.17,20200301,是,否,修武县接入环8-东板桥-朱营,5.0,河南,接入层
0.0,焦作,1,0.0,0.00026000000000000003,0.26,0.00026000000000000003,0.26,20200301,否,否,生产楼接入环4-生产楼-瑞庆公司转型（数据）,1.0,河南,接入层
0.0,焦作,1,0.0,0.01597,15.97,0.01033,10.33,20200301,否,否,焦作市区接入环15-柿园-中站劳改大队-峰林峡链,3.0,河南,接入层
14.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,沁阳接入环11-葛村-范村,7.0,河南,接入层
18.0,焦作,1,0.0,0.48496,484.96,0.45512,455.12,20200301,是,否,温县接入环13-后张庄-黄庄,9.0,河南,接入层
16.0,焦作,1,0.0,0.16454,164.54,0.15134999999999998,151.35,20200301,是,否,博爱接入环7-博爱移动公司-博爱汽车站,7.0,河南,接入层
2.0,焦作,1,0.0,0.00357,3.57,0.00182,1.82,20200301,是,否,生产楼核心一链16-市图书馆室分,1.0,河南,接入层
30.0,焦作,10,0.0,0.27687,276.87,0.2554,255.4,20200301,是,否,焦作市马村接入环6-中轴-墙北,9.0,河南,接入层
8.0,焦作,2,0.0,0.13505,135.05,0.12664,126.64,20200301,是,否,修武县双跨接入环10-田庄酒店-大用厂,4.0,河南,接入层
84.0,焦作,10,0.0,0.17701,177.01,0.16097,160.97,20200301,是,否,焦作市接入环双跨环9-杨庄小学-大北张,12.0,河南,接入层
15.0,焦作,1,0.0,0.10144,101.44,0.06149,61.49,20200301,是,否,武陟县接入环35-3460-武陟机房数据3（集客）-3461-武陟机房数据4（集客）,1.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,博爱接入环22-磨头-胭粉庄7322-博爱机房数据950-2-2-D2EG2-1(PORT-1)-7122-博爱机房数据950-1-D2EG2-2(PORT-2),1.0,河南,接入层
1.0,焦作,1,0.0,0.06974,69.74,0.06296,62.96,20200301,是,否,温县接入环34-温县数据（集客）-温县数据（集客）2,2.0,河南,接入层
0.0,焦作,1,0.0,0.00102,1.02,0.00101,1.01,20200301,否,否,修武县接入环9-方庄-新王庄-银河花园酒店链,1.0,河南,接入层
12.0,焦作,1,0.0,0.0424,42.4,0.03642,36.42,20200301,是,否,新新家园2接入链1-1922-华融国际（室分）,1.0,河南,接入层
0.0,焦作,1,0.0,0.01548,15.48,0.01499,14.99,20200301,否,否,焦作市马村接入环2-中轴-博丽建材南-焦作市气象局数据专线,1.0,河南,接入层
10.0,焦作,1,0.0,0.15137,151.37,0.14196,141.96,20200301,是,否,温县接入环35-买庄-卜扬门,5.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,银发接入环3-恒基商厦-三维超市,1.0,河南,接入层
70.0,焦作,2,0.0,0.71011,710.11,0.6219199999999999,621.92,20200301,是,否,焦作市区接入环26-上白作西-焦西矿,11.0,河南,接入层
0.0,焦作,1,0.0,0.005679999999999999,5.68,0.00567,5.67,20200301,否,否,生产楼核心一链3-商行东华软件,1.0,河南,接入层
34.0,焦作,1,0.0,0.00654,6.54,0.0036,3.6,20200301,是,否,修武县接入环23-森林公园-云鼎山庄,2.0,河南,接入层
0.0,焦作,1,0.0,0.01797,17.97,0.01703,17.03,20200301,否,否,焦作市南北苑链7-工行专线数据,1.0,河南,接入层
24.0,焦作,10,0.0,0.27291000000000004,272.91,0.22986,229.86,20200301,是,否,焦作市接入环双跨环6-冯河北-丽景新天地,13.0,河南,接入层
16.0,焦作,10,0.0,0.36489,364.89,0.27570999999999996,275.71,20200301,是,否,焦作市接入环双跨环8-龙源西路2-大北张西,14.0,河南,接入层
2.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,高新区核心一链5-工商大厦（室分）,1.0,河南,接入层
4.0,焦作,1,0.0,0.04754,47.54,0.04375,43.75,20200301,是,否,新新家园接入环5-和平市场东-焦作商厦链,1.0,河南,接入层
8.0,焦作,1,0.0,0.01638,16.38,0.016329999999999997,16.33,20200301,是,否,沁阳接入环16-甄庄-王庄,3.0,河南,接入层
0.0,焦作,10,0.0,0.11867,118.67,0.10829000000000001,108.29,20200301,否,否,焦作市区接入环3-南张庄-驾校,4.0,河南,接入层
2.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,焦作市接入环双跨环13-龙湖玖号酒店-花卉市场-市委小区室分链,1.0,河南,接入层
6.0,焦作,1,0.0,0.15625,156.25,0.14072,140.72,20200301,是,否,博爱接入环17-西张赶-孝敬,8.0,河南,接入层
2.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,焦作市接入环双跨环14-龙湖玖号酒店-东王储-市长公寓室分链,1.0,河南,接入层
0.0,焦作,1,0.0,0.005719999999999999,5.72,0.00533,5.33,20200301,否,否,生产楼核心3链7-国土资源局室分,1.0,河南,接入层
12.0,焦作,1,0.0,0.02906,29.06,0.0211,21.1,20200301,是,否,新新家园2接入链2-观澜国际,1.0,河南,接入层
0.0,焦作,2,0.0,0.22268000000000002,222.68,0.22194999999999998,221.95,20200301,否,否,生产楼核心一接入环1-市商业银行（数据）,2.0,河南,接入层
14.0,焦作,1,0.0,0.15011000000000002,150.11,0.14327,143.27,20200301,是,否,沁阳接入环3-人民公园-马铺,5.0,河南,接入层
0.0,焦作,1,0.0,0.00709,7.09,0.00707,7.07,20200301,否,否,马村链2-马村财政局汇聚,1.0,河南,接入层
22.0,焦作,4,0.0,0.12568000000000001,125.68,0.11772,117.72,20200301,是,否,生产楼接入环6-阳光大厦链路,7.0,河南,接入层
4.0,焦作,1,0.0,0.04918,49.18,0.04759,47.59,20200301,是,否,生产楼核心3链8-生产楼数据,5.0,河南,接入层
